instance_key,k,m0_db_cost,m0_energy,m1_db_cost,m1_energy,m2_db_cost,m2_energy
TREE_graph__60relations__21,1,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,11080575.132998712,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,11080575.132998712,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,4599429.829897728
TREE_graph__60relations__21,2,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,11080575.132998712,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,11080575.132998712,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,4599429.829897728
TREE_graph__60relations__21,3,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,11080575.132998712,668227083640483634611085715402915700364008873398055964023030594921458038328660436446900118618833420288,10932534.827098774,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,4599429.829897728
TREE_graph__60relations__21,4,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,11080575.132998712,668227083640483634611085715402915700364008873398055964023030594921458038328660436446900118618833420288,10929484.104498785,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,4599429.829897728
TREE_graph__60relations__21,5,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,11080575.132998712,26798928323056490724956228723004384133158712207946301341007845930658166881280453900023124816873382245040128,10766869.966398835,67394396706559330169292859327711632226437685134921171559666064657474575076722879734935944429568,4599429.829897728
TREE_graph__60relations__2,1,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,10465617.617799679,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,10465617.617799679,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,4524675.502300163
TREE_graph__60relations__2,2,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,10465617.617799679,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,10462316.455399781,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,4524675.502300163
TREE_graph__60relations__2,3,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,10465617.617799679,9965072655876133298334865600669101492871973056950000112773753209793068495668697551045034896261120,10429171.087999722,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,4524675.502300163
TREE_graph__60relations__2,4,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,10465617.617799679,9965072655876133298334865600669101492871973056950000112773753209793068495668697551045034896261120,10429171.087999722,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,4524675.502300163
TREE_graph__60relations__2,5,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,10465617.617799679,9965072655876133298334865600669101492871973056950000112773753209793068495668697551045034896261120,10429171.087999722,5287746303498927788170428445789340746591547758641262207936314493266342070064432905022218559950765631368855552,4524675.502300163
TREE_graph__60relations__4,1,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10279434.644601008,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10279434.644601008,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,4544776.364801717
TREE_graph__60relations__4,2,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10279434.644601008,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10275141.22640102,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,4544776.364801717
TREE_graph__60relations__4,3,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10279434.644601008,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10275141.22640102,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,4544776.364801717
TREE_graph__60relations__4,4,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10279434.644601008,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10275141.22640102,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,4544776.364801717
TREE_graph__60relations__4,5,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10279434.644601008,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,10272631.063501019,4372563579252179522335352143797620263447100567844135888186913700138690068114533515264,4544776.364801717
TREE_graph__60relations__43,1,115201942300579096383434340561508222828456823331766362837735154299375550726144,10113287.795100592,115201942300579096383434340561508222828456823331766362837735154299375550726144,10113287.795100592,115201942300579096383434340561508222828456823331766362837735154299375550726144,4585947.697501924
TREE_graph__60relations__43,2,115201942300579096383434340561508222828456823331766362837735154299375550726144,10113287.795100592,115201942300579096383434340561508222828456823331766362837735154299375550726144,10110435.314100504,115201942300579096383434340561508222828456823331766362837735154299375550726144,4585947.697501924
TREE_graph__60relations__43,3,115201942300579096383434340561508222828456823331766362837735154299375550726144,10113287.795100592,38162873664848941127812050762284596670649083204994701655507198038322826539099335325636362240,10077203.402000468,115201942300579096383434340561508222828456823331766362837735154299375550726144,4585947.697501924
TREE_graph__60relations__43,4,115201942300579096383434340561508222828456823331766362837735154299375550726144,10113287.795100592,38162873664848941127812050762284596670649083204994701655507198038322826539099335325636362240,10076969.913800614,115201942300579096383434340561508222828456823331766362837735154299375550726144,4585947.697501924
